"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2018-01-07","1423.83","1435.23","1422.31","1431.8","0.00","316608992"
"NEPSE","2018-01-08","1431.8","1448.78","1431.8","1443.8","0.00","444126016"
"NEPSE","2018-01-09","1443.8","1457.9","1441.88","1456.07","0.00","459059008"
"NEPSE","2018-01-10","1456.07","1457.89","1439.87","1440.29","0.00","356148000"
"NEPSE","2018-01-14","1440.29","1442.03","1426.45","1431.1","0.00","316456000"
"NEPSE","2018-01-16","1431.1","1431.17","1408.88","1413.71","0.00","340700992"
"NEPSE","2018-01-17","1413.71","1413.77","1399.39","1406.52","0.00","398921984"
"NEPSE","2018-01-21","1406.52","1413.45","1402.31","1402.67","0.00","381268992"
"NEPSE","2018-01-22","1402.67","1407.28","1400.6","1402.09","0.00","336096000"
"NEPSE","2018-01-23","1402.09","1402.94","1392.09","1393.04","0.00","301217984"
"NEPSE","2018-01-24","1393.04","1397.1","1391.35","1394.73","0.00","218552000"
"NEPSE","2018-01-25","1394.73","1404.53","1394.28","1404.53","0.00","271240000"
"NEPSE","2018-01-28","1404.53","1411.68","1403.46","1405.95","0.00","341291008"
"NEPSE","2018-01-29","1405.95","1407.86","1397.73","1402.23","0.00","261374000"
"NEPSE","2018-01-31","1402.23","1405.99","1399.67","1404.49","0.00","291264000"
"NEPSE","2018-02-01","1404.49","1415.18","1403.15","1411.52","0.00","396398016"
"NEPSE","2018-02-04","1404.49","1418.21","1409.62","1410.51","0.00","440143008"
"NEPSE","2018-02-05","1404.49","1413.14","1399.2","1400.05","0.00","287900992"
"NEPSE","2018-02-06","1400.05","1401.58","1393.16","1394.03","0.00","222879008"
"NEPSE","2018-02-07","1394.03","1395.25","1380.99","1382.02","0.00","255580000"
"NEPSE","2018-02-08","1382.02","1391.12","1378.58","1391.03","0.00","256940000"
"NEPSE","2018-02-11","1391.03","1394.37","1383.95","1384.71","0.00","194698000"
"NEPSE","2018-02-12","1384.71","1385.87","1378.64","1380.29","0.00","218002000"
"NEPSE","2018-02-14","1380.29","1389.04","1376.18","1388.94","0.00","277982016"
"NEPSE","2018-02-15","1388.94","1426.56","1388.94","1424.95","0.00","628467008"
"NEPSE","2018-02-18","1424.95","1444.94","1413.07","1413.9","0.00","567721984"
"NEPSE","2018-02-20","1413.9","1424.38","1396.59","1396.72","0.00","310777984"
"NEPSE","2018-02-21","1396.72","1397.66","1386","1387.08","0.00","244471008"
"NEPSE","2018-02-22","1387.08","1395.4","1382.04","1386.98","0.00","330896992"
"NEPSE","2018-02-25","1386.98","1389.31","1374.08","1374.73","0.00","252644000"
"NEPSE","2018-02-26","1374.73","1379.78","1356.64","1358.95","0.00","446529984"
"NEPSE","2018-02-27","1358.95","1377.62","1358.69","1364.81","0.00","437884992"
"NEPSE","2018-02-28","1364.81","1364.96","1343.8","1345.99","0.00","491740992"
"NEPSE","2018-03-04","1345.99","1345.79","1291.42","1304.43","0.00","440904000"
"NEPSE","2018-03-05","1304.43","1319.54","1286.19","1287.74","0.00","371527008"
"NEPSE","2018-03-06","1287.74","1306.1","1267.23","1296.44","0.00","430979008"
"NEPSE","2018-03-07","1296.44","1315.13","1295.83","1315.13","0.00","422131008"
"NEPSE","2018-03-11","1315.13","1315.51","1283.85","1284.09","0.00","303252992"
"NEPSE","2018-03-12","1284.09","1289.52","1273.03","1277.01","0.00","297712992"
"NEPSE","2018-03-13","1277.01","1281.9","1276.68","1281.9","0.00","226427008"
"NEPSE","2018-03-14","1281.9","1285.96","1279.28","1285.96","0.00","168392000"
"NEPSE","2018-03-15","1285.96","1298.68","1284.75","1288.36","0.00","221290000"
"NEPSE","2018-03-18","1288.36","1292.72","1277.53","1278.96","0.00","266955008"
"NEPSE","2018-03-19","1278.96","1281.34","1269.25","1270.52","0.00","256922000"
"NEPSE","2018-03-20","1270.52","1271.13","1249.6","1255.47","0.00","302363008"
"NEPSE","2018-03-21","1255.47","1257.52","1224.39","1231.07","0.00","360376992"
"NEPSE","2018-03-22","1231.07","1238.61","1207.56","1220.44","0.00","431647008"
"NEPSE","2018-03-26","1220.44","1220.44","1166.01","1168.55","0.00","453727008"
